entidad,departamento_entidad,orden,nit_entidad,cantidad,suma_valor_contrato
ADMINISTRADORA COLOMBIANA DE PENSIONES COLPENSIONES,Bogotá DC,NACIONAL,900336004,2559,1809843774396.0
ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,Bogotá DC,NACIONAL,901037916,84,434511742203.0
ADPOSTAL  ADMINISTRACIÓN POSTAL NACIONAL E INTERNACIONAL,Bogotá DC,NACIONAL,899999486-5,273,29103768948.0
AERONÁUTICA CIVIL AEROCIVIL,Bogotá DC,NACIONAL,899999059,12444,4625919151369.0
AGENCIA DE DESARROLLO RURAL   ADR,Bogotá DC,NACIONAL,900948958,1592,576950216546.0
AGENCIA DEL INSPECTOR GENERAL DE TRIBUTOS RENTAS Y CONTRIBUCIONES PARAFISCALES ITRC,Bogotá DC,NACIONAL,900528648,405,30383960140.0
AGENCIA DE RENOVACION DEL TERRITORIO,Bogotá DC,NACIONAL,111111111,2621,544860981170.0
AGENCIA LOGÍSTICA DE LAS FUERZAS MILITARES ALFM,Bogotá DC,NACIONAL,899999162,14350,3691701673046.0
AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA COLOMBIA COMPRA EFICIENTE,Bogotá DC,NACIONAL,900514813,392,52940894664.0
AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO ANDJE,Bogotá DC,NACIONAL,900507741,1216,112313748815.0
AGENCIA NACIONAL DE HIDROCARBUROS ANH,Bogotá DC,NACIONAL,830127607,3359,2166411766705.0
AGENCIA NACIONAL DE INFRAESTRUCTURA ANI,Bogotá DC,NACIONAL,830125996,5020,76353425840526.0
AGENCIA NACIONAL DEL ESPECTRO ANE,Bogotá DC,NACIONAL,900334265,673,98120744066.0
AGENCIA NACIONAL DE MINERÍA ANM,Bogotá DC,NACIONAL,900500018,4670,388804547205.0
AGENCIA NACIONAL DE SEGURIDAD VIAL,Colombia,NACIONAL,900852998,488,270842853951.0
AGENCIA NACIONAL DE TIERRAS,Bogotá DC,NACIONAL,900948953,2235,239205468988.0
AGENCIA NACIONAL INMOBILIARIA VIRGILIO BARCO VARGAS,Bogotá DC,NACIONAL,900483991,458,1979801025975.0
AGENCIA NACIONAL PARA LA SUPERACIÓN DE LA POBREZA EXTREMA ANSPE,Bogotá DC,NACIONAL,900487473,1169,817782515436.0
AGENCIA PARA LA INFRAESTRUCTURA DEL META  AIM,Meta,TERRITORIAL,900220547,4217,3170623106819.0
AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN ARN,Bogotá DC,NACIONAL,900477169,8619,636763348932.0
